name,regularization_strength,regularization_fraction_of_noise,q_rmse,dq_ds_rmse,dq_dT_rmse,violation_percent,worst_violation,condition_number,alpha_norm,learned_noise_variance_standardized,learned_noise_std_physical,fit_seconds
unregularized,0.0,0.0,0.0740980757321249,0.17931171637660928,0.19820627652081962,0.0,0.0,177529970431.18204,51.19637688060864,0.015977378638502952,0.21078778175688184,11.523676416021772
reg=1.6e-10,1.5977378638502953e-10,1e-08,0.0740980757289526,0.17931171622778166,0.19820627673575103,0.0,0.0,174875640556.76022,51.196376377882736,0.015977378638502952,0.21078778175688184,11.015505125047639
reg=1.6e-09,1.597737863850295e-09,1e-07,0.07409807592887571,0.17931171485409075,0.19820627867173737,0.0,0.0,154135228964.87317,51.19637185347014,0.015977378638502952,0.21078778175688184,11.463602375006303
reg=1.6e-08,1.597737863850295e-08,1e-06,0.07409807773541759,0.17931170114393533,0.1982062980303313,0.0,0.0,70510110436.33665,51.19632660902604,0.015977378638502952,0.21078778175688184,11.447005541995168
reg=1.6e-07,1.5977378638502952e-07,1e-05,0.07409809541269867,0.17931156409347537,0.19820649161267095,0.0,0.0,10973629091.817793,51.19587416940656,0.015977378638502952,0.21078778175688184,11.07697858393658
reg=1.6e-06,1.5977378638502953e-06,0.0001,0.07409827250381297,0.1793101936268051,0.19820842734131663,0.0,0.0,1162006536.7938528,51.19135021979775,0.015977378638502952,0.21078778175688184,11.862678667064756
reg=1.6e-05,1.5977378638502953e-05,0.001,0.07410004417695545,0.17929649706339806,0.1982277749965842,0.0,0.0,116889235.93641852,51.14615537061381,0.015977378638502952,0.21078778175688184,10.822204292053357
reg=1.6e-04,0.00015977378638502954,0.01,0.07411782958669798,0.17916033976328474,0.19842029571816922,0.0,0.0,11695855.177743312,50.69862753216298,0.015977378638502952,0.21078778175688184,11.254489624989219
reg=1.6e-03,0.0015977378638502952,0.1,0.07430297595917446,0.17787710555742642,0.20025680105744528,0.0,0.0,1169655.7698472866,46.62537440144168,0.015977378638502952,0.21078778175688184,11.896684666047804
reg=4.0e-03,0.003994344659625738,0.25,0.07464414013933873,0.17603031458115204,0.20301727837147082,0.0,0.0,467864.7574449824,41.13816930201534,0.015977378638502952,0.21078778175688184,11.831693125073798
reg=8.0e-03,0.007988689319251476,0.5,0.07530799054540509,0.17362653209504794,0.20701241118748126,0.0,0.0,233933.1869761368,34.42993942477914,0.015977378638502952,0.21078778175688184,13.969141333014704
