experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,rbf+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,2.806248480922734,2.751743422029608,5.007935993778994,9.489104472399577,,,,25.2,2.8243186231434576,27.200000000000003,6.785883361849825,failed: ZeroDivisionError,0.06871620001038536,,7920,,,0.46154780001961626,0.17220650039962493,0.28934129961999133,21.743244999952644
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,rbf+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,3.8177999103956584,3.738246462145902,4.9335234346395875,14.567070881728819,,,,26.400000000000002,4.997900466750061,23.400000000000002,6.936137056613722,failed: ZeroDivisionError,0.06958740000845864,,7840,,,0.46344829999725334,0.17342690055374987,0.29002139944350347,22.12077813185585
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,materngpmonotone_unregularized+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.0005244856220187943,0.00031447170094684444,0.0028460036004887244,0.0031163394924019804,,,,0.0,0.0,0.0,0.0,failed: RuntimeError,0.6428714000212494,,12320,,,3.0903505999885965,2.5389682984387036,0.5513823015498929,206.08508915898568
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,materngpmonotone_unregularized+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.0005244835647130028,0.00031446998360200085,0.0028460087779753848,0.0031163423433651534,,,,0.0,0.0,0.0,0.0,failed: RuntimeError,0.6148490000050515,,8960,,,2.23512669999036,1.83741350096534,0.39771319902502,205.0684710898817
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,materngpmonotone_unregularized+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.0005245417412257471,0.00031451432611416313,0.002846526617248496,0.0031166277804693756,,,,0.0,0.0,0.0,0.0,failed: RuntimeError,0.6254050999996252,,14800,,,3.7222955000179354,3.057348101079697,0.6649473989382386,206.5775743972768
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,materngpmonotone_unregularized+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.0005250750170549842,0.0003149067436194927,0.0028512417519887677,0.0031192236237356534,,,,0.0,0.0,0.0,0.0,failed: RuntimeError,0.615103399992222,,6800,,,1.6916008999978658,1.3916273012873717,0.2999735987104941,204.65107371873114
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,mlp+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.35777289468682855,0.3573011211741793,1.2080112007460646,1.4149524456188958,,,,1.2,0.02391251995689877,0.2,0.24790706792389727,ok,4.12310840000282,4.0,720,4.458841437395206e-14,0.015707873470282057,6.716076200013049,6.662369099765783,0.05370710024726577,9253.290416341366
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,mlp+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.358266432900965,0.3578053118630471,1.2088386665151374,1.4150054706188624,,,,1.2,0.023853107658513884,0.2,0.2455758880455867,ok,4.133778999996139,4.0,720,6.483550376681334e-14,0.015703315359223056,13.074396899988642,12.962756300577894,0.11164059941074811,18003.828195247075
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,mlp+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.40829858502936167,0.41023558236997726,1.2945515986156564,1.4297338442364214,,,,1.4000000000000001,0.01734174608364018,0.0,0.0,ok,8.195023099979153,4.0,720,5.3538080831502974e-14,0.015216717068971129,6.798408900009235,6.741612000099849,0.05679689990938641,9363.350000138678
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,mlp+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.6495101130955189,0.7262196493464306,1.7582986566593022,1.856683384025514,,,,0.8,0.0015187823784719985,0.0,0.0,ok,4.108905300003244,4.0,720,5.1787352341330745e-14,0.028647349245643307,6.890229200012982,6.837000699888449,0.05322850012453273,9495.834305400624
