CASE,PIPE DIAMETER [mm],COLUMN LENGTH [mm],PARTICLES DIAMETER [mm],PARTICLES COUNT,L/D,D/Dp,POROSITY,FLOW RATE [L/min],TEMPERATURE [℃],SUPERFICIAL VELOCITY [m/s],PRESSURE DROP [Pa],STAT VERIFIED

SP-10-D50x230-G70.95,50,230,10,500,4.6,5,0.42,70.95,23,0.602,25,26,25.5,TRUE
SP-10-D50x230-G77.2,50,230,10,500,4.6,5,0.42,77.2,23,0.655,27,28,27.5,TRUE
SP-10-D50x230-G81.35,50,230,10,500,4.6,5,0.42,81.35,23,0.691,29,30,29.5,TRUE
SP-10-D50x230-G84.35,50,230,10,500,4.6,5,0.42,84.35,23,0.716,30,33,31.5,TRUE
SP-10-D50x230-G88.45,50,230,10,500,4.6,5,0.42,88.45,23,0.751,32,35,33.5,TRUE
SP-10-D50x230-G92,50,230,10,500,4.6,5,0.42,92,23,0.781,34,36,35,TRUE
SP-10-D50x230-G95.45,50,230,10,500,4.6,5,0.42,95.45,23,0.81,36,40,38,TRUE
SP-10-D50x230-G101.55,50,230,10,500,4.6,5,0.42,101.55,23,0.862,39,42,40.5,TRUE
SP-10-D50x230-G106.5,50,230,10,500,4.6,5,0.42,106.5,23,0.904,43,45,44,TRUE
SP-10-D50x230-G111.6,50,230,10,500,4.6,5,0.42,111.6,23,0.947,46,50,48,TRUE
SP-10-D50x230-G117.85,50,230,10,500,4.6,5,0.42,117.85,23,1,52,54,53,TRUE
SP-10-D50x230-G122.65,50,230,10,500,4.6,5,0.42,122.65,23,1.041,54,58,56,TRUE
SP-10-D50x230-G128.7,50,230,10,500,4.6,5,0.42,128.7,23,1.092,57,61,59,TRUE
SP-10-D50x230-G132.3,50,230,10,500,4.6,5,0.42,132.3,23,1.123,60,64,62,TRUE
SP-10-D50x230-G134.85,50,230,10,500,4.6,5,0.42,134.85,23,1.145,64,66,65,TRUE
SP-10-D50x230-G136.55,50,230,10,500,4.6,5,0.42,136.55,23,1.159,63,68,65.5,TRUE
SP-10-D50x230-G139.75,50,230,10,500,4.6,5,0.42,139.75,23,1.186,68,70,69,TRUE
SP-10-D50x230-G143.3,50,230,10,500,4.6,5,0.42,143.3,23,1.216,69,74,71.5,TRUE
SP-10-D50x230-G148.65,50,230,10,500,4.6,5,0.42,148.65,23,1.262,75,79,77,TRUE
SP-10-D50x230-G154.8,50,230,10,500,4.6,5,0.42,154.8,23,1.314,80,87,83.5,TRUE
SP-10-D50x230-G158.8,50,230,10,500,4.6,5,0.42,158.8,23,1.348,82,86,84,TRUE
SP-10-D50x230-G162.8,50,230,10,500,4.6,5,0.42,162.8,23,1.382,89,93,91,TRUE
SP-10-D50x230-G165.55,50,230,10,500,4.6,5,0.42,165.55,23,1.405,89,93,91,TRUE
SP-10-D50x230-G173.8,50,230,10,500,4.6,5,0.42,173.8,23,1.475,94,102,98,TRUE
SP-10-D50x230-G181,50,230,10,500,4.6,5,0.42,181,23,1.536,102,111,106.5,TRUE
SP-10-D50x230-G191.75,50,230,10,500,4.6,5,0.42,191.75,23,1.628,118,122,120,TRUE
SP-10-D50x230-G195.2,50,230,10,500,4.6,5,0.42,195.2,23,1.657,119,123,121,TRUE
SP-10-D50x230-G200.85,50,230,10,500,4.6,5,0.42,200.85,23,1.705,123,130,126.5,TRUE
SP-10-D50x230-G206.5,50,230,10,500,4.6,5,0.42,206.5,23,1.753,130,134,132,TRUE
SP-10-D50x335-G14.2,50,335,10,750,6.7,5,0.403,14.2,23,0.121,3,4,3.5,TRUE
SP-10-D50x335-G17.15,50,335,10,750,6.7,5,0.403,17.15,23,0.146,5,5,5,TRUE
SP-10-D50x335-G20.45,50,335,10,750,6.7,5,0.403,20.45,23,0.174,6,7,6.5,TRUE
SP-10-D50x335-G22.65,50,335,10,750,6.7,5,0.403,22.65,23,0.192,8,8,8,TRUE
SP-10-D50x335-G26.45,50,335,10,750,6.7,5,0.403,26.45,23,0.225,9,10,9.5,TRUE
SP-10-D50x335-G33.45,50,335,10,750,6.7,5,0.403,33.45,23,0.284,14,15,14.5,TRUE
SP-10-D50x335-G38.85,50,335,10,750,6.7,5,0.403,38.85,23,0.33,18,19,18.5,TRUE
SP-10-D50x335-G42.1,50,335,10,750,6.7,5,0.403,42.1,23,0.357,20,21,20.5,TRUE
SP-10-D50x335-G44.15,50,335,10,750,6.7,5,0.403,44.15,23,0.375,22,23,22.5,TRUE
SP-10-D50x335-G49.8,50,335,10,750,6.7,5,0.403,49.8,23,0.423,27,28,27.5,TRUE
SP-10-D50x335-G52.25,50,335,10,750,6.7,5,0.403,52.25,23,0.444,29,30,29.5,TRUE
SP-10-D50x335-G56.15,50,335,10,750,6.7,5,0.403,56.15,23,0.477,31,32,31.5,TRUE
SP-10-D50x335-G59.4,50,335,10,750,6.7,5,0.403,59.4,23,0.504,35,36,35.5,TRUE
SP-10-D50x335-G62.9,50,335,10,750,6.7,5,0.403,62.9,23,0.534,38,39,38.5,TRUE
SP-10-D50x335-G65.35,50,335,10,750,6.7,5,0.403,65.35,23,0.555,39,41,40,TRUE
SP-10-D50x335-G69.6,50,335,10,750,6.7,5,0.403,69.6,23,0.591,43,45,44,TRUE
SP-10-D50x335-G72.35,50,335,10,750,6.7,5,0.403,72.35,23,0.614,46,48,47,TRUE
SP-10-D50x335-G78.15,50,335,10,750,6.7,5,0.403,78.15,23,0.663,52,54,53,TRUE
SP-10-D50x335-G80.45,50,335,10,750,6.7,5,0.403,80.45,23,0.683,54,57,55.5,TRUE
SP-10-D50x335-G84.5,50,335,10,750,6.7,5,0.403,84.5,23,0.717,58,61,59.5,TRUE
