experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,regularization_type,regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
gp_monotone_family_after_coordinate_fix,linear_no_noise,materngpmonotone_unregularized,3000,289,17,17,1,none,0.0,2.901272940171222e-06,3.0027191173092804e-06,1.2640770536028228e-05,3.842508318796551e-06,,,,0.0,0.0,0.0,0.0,ok,0.5296560999995563,2,400,5.870478399907119e-09,8.259690200581395e-08,0.09887469999375753,0.08131940045859665,0.017555299535160884,203.29850114649162
gp_monotone_family_after_coordinate_fix,linear_no_noise,materngpmonotone_regularized,3000,289,17,17,1,none,0.0,2.9011921913385743e-06,3.002924581506142e-06,1.2641498268234926e-05,3.84258958310507e-06,,,,0.0,0.0,0.0,0.0,ok,0.5283045999822207,2,400,5.635954969215573e-09,8.263265622371446e-08,0.09752100001787767,0.0801980999240186,0.01732290009385906,200.49524981004652
gp_monotone_family_after_coordinate_fix,linear_no_noise,maternGPMonotone+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.20028889697497615,0.2158337339687531,0.6156284039822453,1.4733764872974198,,,,1.7999999999999998,0.0497323166310926,1.4000000000000001,0.40438053896720894,ok,0.315791300003184,8,1760,2.38395881776782e-13,0.017757214971366567,0.4373965999984648,0.3592983994167298,0.078098200581735,204.14681785041466
gp_monotone_family_after_coordinate_fix,linear_no_noise,maternGPMonotone+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.1811792926723552,0.18957397398813663,0.34542795459580855,0.7674094910589018,,,,0.8,0.0035283299207681026,0.0,0.0,ok,0.2989747999818064,4,720,1.2533554131543696e-09,0.009845485172133607,0.17794490000233054,0.14622869988670573,0.031716200115624815,203.0954165093135
gp_monotone_family_after_coordinate_fix,linear_no_noise,maternGPMonotone+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.197090752510871,0.2123443977429901,0.5814508886172546,1.4031031317994034,,,,1.6,0.040098782647806336,1.2,0.24637853472161708,ok,0.3247663000074681,8,1520,8.949893637349897e-13,0.01631068863325095,0.37103929999284446,0.30497009950340725,0.06606920048943721,200.63822335750478
gp_monotone_family_after_coordinate_fix,linear_no_noise,maternGPMonotone+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.17093396928100313,0.18087476906372052,0.33289823598747925,0.7646564479502158,,,,0.8,0.006123601766373188,0.0,0.0,ok,0.3453141000063624,4,720,1.438487486682892e-12,0.00848632982731856,0.1757297000149265,0.1446913002000656,0.031038399814860895,200.96013916675778
