experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,regularization_type,regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
gp_monotone_family_after_coordinate_fix,linear_medium_noise,materngpmonotone_unregularized,3000,289,17,17,1,none,0.0,0.16972020259302342,0.15616179894194734,0.2727904974379602,2.365056416378105,1.3314466487299452,1.125154532508645,4.868214170112953,0.6,0.004003652343289911,0.2,0.4039597457050978,ok,0.39425389998359606,5,960,1.8247458382507463e-12,0.004660373104684306,0.2369477000029292,0.1944597999972757,0.0424879000056535,202.56229166382886
gp_monotone_family_after_coordinate_fix,linear_medium_noise,materngpmonotone_regularized,3000,289,17,17,1,none,0.0,0.16970599987300894,0.15613263643496145,0.2727170218329845,2.364851269121375,1.3313541135882423,1.1248514742615885,4.867791896557339,0.6,0.004003119596478625,0.2,0.40401729525057717,ok,0.3842288000159897,5,960,1.5993222128211278e-12,0.004659387677129675,0.23620949999894947,0.1944373000296764,0.04177219996927306,202.53885419757958
gp_monotone_family_after_coordinate_fix,linear_medium_noise,maternGPMonotone+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.25502451831793793,0.21521852350092516,0.6870042808794887,1.3758450680443959,2.502495169427422,2.833625026327013,2.8320290415697817,0.4,0.0008713143324141575,2.0,0.5286981521534964,ok,0.2988719000131823,5,960,9.9213944620951e-11,0.005468131170455272,0.2357266000180971,0.19362540042493492,0.042101199593162164,201.69312544264054
gp_monotone_family_after_coordinate_fix,linear_medium_noise,maternGPMonotone+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.2219871374449538,0.1807190586072723,0.29341698458804055,0.5078840742060396,1.8633413516778154,1.2102307566609263,1.0454247220922364,0.0,0.0,0.0,0.0,ok,0.3041170999931637,4,720,6.109283626288584e-13,0.006241652341292223,0.1752959000004921,0.14401929988525808,0.03127660011523403,200.02680539619178
gp_monotone_family_after_coordinate_fix,linear_medium_noise,maternGPMonotone+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.25184152904958795,0.21205907911004848,0.6543240784923111,1.3059121444192736,2.4581725657055,2.6988319225181265,2.6880796425653317,0.4,0.0007018576467260987,1.2,0.40844532836584824,ok,0.31639319998794235,5,960,1.0846541673907324e-12,0.005015601334921839,0.2330348999821581,0.19145570017280988,0.04157919980934821,199.43302101334362
gp_monotone_family_after_coordinate_fix,linear_medium_noise,maternGPMonotone+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.21760817118504802,0.17702338143710245,0.3450069642686012,0.6838991659805869,1.9452809555568291,1.4230193252319892,1.4077328505565985,0.0,0.0,0.0,0.0,ok,0.28323259999160655,4,720,3.098601235305819e-13,0.006942918656259406,0.1714436000038404,0.14128669965430163,0.030156900349538773,196.23152729764115
