experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
bello,nonlinear_high_noise,FiniteDiff,3000,289,17,17,1,none,0.0,0.9943342824541487,0.7747834773864474,1.2016447051652406,2.3355143941322862,1.7978254932569249,1.0113822864049633,0.9696613423325603,2.0,0.027381859298507866,0.0,0.0,failed: RuntimeError,0.06325389999256004,,5200,,,0.6486480000021402,0.4532330000511138,0.1954149999510264,87.16019231752188
bello,nonlinear_high_noise,FiniteDiff+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.9764112537302472,0.7514949844086123,1.1502677420536587,2.1549541839332367,1.7243807156981181,0.9681400949344072,0.8946961628272085,1.6,0.016692758878864972,0.0,0.0,failed: RuntimeError,0.06568469999183435,,6560,,,0.8157347999949707,0.5695902997540543,0.2461445002409164,86.82778959665461
bello,nonlinear_high_noise,FiniteDiff+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.9452022108476823,0.7053805795606913,1.0589646934637467,1.6931831475444816,1.554726917395795,0.8912935148748625,0.702977574356948,1.4000000000000001,0.017192231236265128,0.0,0.0,ok,0.06825969999772497,18.0,2960,4.04192897683029e-09,0.004633160997526435,0.3694473000068683,0.2579498001578031,0.11149749984906521,87.14520275601457
bello,nonlinear_high_noise,FiniteDiff+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.9837010477343933,0.7557749390078083,1.1627056531624143,2.1332812388990106,1.7307834297318672,0.9786086493425467,0.885697966529645,1.7999999999999998,0.015711184436577524,0.0,0.0,failed: RuntimeError,0.0667099000129383,,14080,,,1.747450499999104,1.2181910006183898,0.5292594993807143,86.51924720301064
bello,nonlinear_high_noise,FiniteDiff+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.986277348259249,0.7344880725247847,1.1919475304290883,1.3559459272481003,1.4855897672293992,1.0032205138659085,0.5629630676861026,1.2,0.010337882022747462,0.0,0.0,ok,0.06673830001091119,20.0,3280,5.079603479364358e-09,0.002416807523481223,0.40858139999909326,0.2852940997836413,0.12328730021545198,86.97990847062235
bello,nonlinear_high_noise,rff,3000,289,17,17,1,none,0.0,0.8080538008002537,0.4766278976373273,2.2786036642055416,4.316369095178329,1.315951325944412,1.9178209447509078,1.7920746972695945,1.6,0.004255813127884842,1.4000000000000001,7.935296033307369,ok,0.17527029999473598,5.0,880,2.0747570326582233e-13,0.008108817502905357,0.19253179999941494,0.15466019976884127,0.037871600230573677,175.7502270100469
bello,nonlinear_high_noise,rff+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.9558832934678768,0.6845089453465599,1.1079240760805835,2.3901721582205857,1.6168811667981409,0.9325009134670967,0.9923542107764081,2.0,0.026420646721066192,0.0,0.0,ok,0.09057120000943542,4.0,720,5.65057685145787e-10,0.010766787642612713,0.15566630000830628,0.12514320010086522,0.030523099907441065,173.81000014009058
bello,nonlinear_high_noise,rff+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.9549400594999289,0.6798271826780875,1.0542857873679783,1.9629186391718658,1.5890453798024715,0.8873554433927753,0.8149666417518063,2.0,0.02284188001387177,0.0,0.0,ok,0.09451560000889003,4.0,720,1.5164129514992967e-12,0.008982554539879074,0.15787369999452494,0.1267793998704292,0.031094300124095753,176.08249982004054
bello,nonlinear_high_noise,rff+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.9554359578578265,0.6818656672473511,1.1260435478277393,2.328522170154368,1.597839206651407,0.947751438589303,0.9667583033680597,2.0,0.02535589013624794,0.0,0.0,ok,0.08634550000715535,4.0,720,3.584918441304794e-10,0.01050402481254494,0.16096449999895412,0.12947670015273616,0.03148779984621797,179.82875021213354
bello,nonlinear_high_noise,rff+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.9745130910900391,0.6979961253032061,1.2697974171206192,1.5238934260599741,1.460530388618568,1.068744038465154,0.6326916883053826,1.2,0.016325680229716318,0.0,0.0,ok,0.08215020000352524,4.0,720,8.206523480194328e-14,0.007232304944757391,0.16328550000616815,0.13161150021187495,0.031673999794293195,182.79375029427078
