experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
bello,nonlinear_low_noise,rbf,3000,289,17,17,1,none,0.0,0.9254115990950599,0.905538369802327,1.6665165399526458,3.0952213847187413,28.410279976967477,18.115174741771366,16.858493927836726,20.599999999999998,0.6313549446270418,24.2,2.3326674371091585,failed: RuntimeError,0.06820200000947807,,20800,,,1.190594500003499,0.44783689867472276,0.7427576013287762,21.53062012859244
bello,nonlinear_low_noise,rbf+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,3.540305920256033,3.378515529672168,5.8157888606574275,11.06914518715648,117.14989378157593,63.218113319805596,60.28942480344667,30.2,19.397682287166443,36.0,12.021949900071482,failed: RuntimeError,0.07013089999963995,,18000,,,1.039422599991667,0.39166240056511015,0.6477601994265569,21.759022253617232
bello,nonlinear_low_noise,rbf+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,3.5510926436572796,3.3889967605318447,5.831163506872591,11.106553231398637,117.51559070599592,63.385237015312704,60.49317219606362,30.2,19.491037228060364,36.199999999999996,12.054826710879226,failed: RuntimeError,0.06968859999324195,,21680,,,1.2589411000080872,0.4790549007593654,0.7798861992487218,22.096628263808366
bello,nonlinear_low_noise,rbf+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,3.5119655547017934,3.3512462504902993,5.768310420422384,10.982171951150045,116.21465528790127,62.70201868725607,59.81571465840255,30.0,19.18901969322798,36.0,11.901859969403677,failed: RuntimeError,0.06914349998987745,,36960,,,2.1338435000070604,0.803943501712638,1.3298999982944224,21.75171811993068
bello,nonlinear_low_noise,rbf+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,3.312584600343144,3.1590817029248983,5.432715176989338,10.371171296465135,109.6379081768005,59.05407020816706,56.48782642470007,29.4,17.752998239111353,35.8,11.044061799371633,failed: ZeroDivisionError,0.06939280001097359,,11360,,,0.6589417000068352,0.2499448988965014,0.40899680111033376,22.00219180426949
bello,nonlinear_low_noise,FDMatern52,3000,289,17,17,1,none,0.0,0.22552912959172935,0.23000995504861735,0.24711559847000722,0.23284162360160024,3.6904265507271643,2.686167307903701,1.2681997859716632,1.0,0.0005749284039267712,0.0,0.0,ok,0.07272009999724105,7.0,1200,8.154407139611457e-09,0.004526190001691978,0.11484680000285152,0.0704840999096632,0.04436270009318832,58.736749924719334
bello,nonlinear_low_noise,FDMatern52+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.22521494888854382,0.22961175055046965,0.24626860025316935,0.23009774911112937,3.6761415798239625,2.6769603661565626,1.253254944977502,0.8,0.0005748681612195685,0.0,0.0,ok,0.07414820000121836,7.0,1200,6.1264039948615246e-09,0.004347932996731799,0.11607119999825954,0.07105409989890177,0.045017100099357776,59.211749915751476
bello,nonlinear_low_noise,FDMatern52+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.22373603329416317,0.22767779611601255,0.24297580015905465,0.21620571172554856,3.603635652679666,2.6411673526072916,1.177590299771073,0.8,0.0008458974640101492,0.0,0.0,ok,0.07388080000237096,7.0,1200,2.5139679107917886e-09,0.003621778612434458,0.11495229999127332,0.0704840000544209,0.04446829993685242,58.73666671201742
bello,nonlinear_low_noise,FDMatern52+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.22696686657278614,0.2316006162848595,0.2523289795539677,0.2275428226697099,3.6703542323968117,2.7428371981011743,1.2393392321592236,0.8,0.0005521967560008388,0.0,0.0,ok,0.07411150001280475,7.0,1200,5.909852064451403e-09,0.004288094173895378,0.11433280000346713,0.07039849997090641,0.043934300032560714,58.66541664242201
bello,nonlinear_low_noise,FDMatern52+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.2448831659905581,0.2506993737435969,0.30246352735809784,0.20505483879409983,3.651362351518493,3.2878039429840746,1.1168557350213566,0.8,0.0006559533595419077,0.0,0.0,ok,0.07455049999407493,7.0,1200,2.5133826068129555e-09,0.003239714935158149,0.11550900001020636,0.07103699998697266,0.044472000023233704,59.197499989143886
bello,nonlinear_low_noise,FDIntegratedEpanechnikov,3000,289,17,17,1,none,0.0,0.392329503970886,0.3963859592531524,0.5125230503762556,0.2385435400019527,5.584541155933518,5.57116859879193,1.2992559564565762,0.6,0.0003034081441855334,0.0,0.0,ok,0.076648699992802,4.0,720,4.584352973233655e-09,0.004008579391898096,0.06943239999236539,0.04262479992758017,0.02680760006478522,59.20111101052802
bello,nonlinear_low_noise,FDIntegratedEpanechnikov+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.39200933640825303,0.3960504140181336,0.512350267840662,0.23852130256939702,5.582435696459918,5.569290438119913,1.2991348376172063,0.6,0.00029497741459409986,0.0,0.0,ok,0.078175899994676,4.0,720,4.672979632924919e-09,0.004124261189399778,0.06872250000014901,0.04234430004726164,0.02637819995288737,58.81152784341894
bello,nonlinear_low_noise,FDIntegratedEpanechnikov+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.3896864556446045,0.3936487349994075,0.5108909035345012,0.23793196152337417,5.562998716088063,5.553427025555909,1.2959249210358423,0.6,0.0002683779709223563,0.0,0.0,ok,0.07791369999176823,4.0,720,5.303859139240268e-09,0.00449122149591835,0.06901760000619106,0.04248499970708508,0.02653260029910598,59.00694403761817
bello,nonlinear_low_noise,FDIntegratedEpanechnikov+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.38954516055735955,0.3935381311731718,0.5110832200715741,0.2381706387984154,5.556785087638828,5.555517522464453,1.2972249053962053,0.6,0.00029483604968699154,0.0,0.0,ok,0.07701570000790525,4.0,720,4.597576039196539e-09,0.004124551256213844,0.06999499999801628,0.042874600025243126,0.027120399972773157,59.548055590615455
bello,nonlinear_low_noise,FDIntegratedEpanechnikov+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.37489538924967014,0.37846748412238534,0.5029106916161146,0.23747013626747576,5.414191243181727,5.466681451832382,1.293409534475539,0.6,0.00024999528146490974,0.0,0.0,ok,0.07820509999874048,4.0,720,4.1104965610478346e-09,0.004450723523512784,0.06893049999780487,0.042047299997648224,0.02688320000015665,58.399027774511424
bello,nonlinear_low_noise,savgol,3000,289,17,17,1,none,0.0,0.049763586176123344,0.020900591371181894,0.051134723903757354,0.07431301971475981,1.0657858531221933,0.5558387430796929,0.4047547609375056,0.2,3.729123185895031e-05,0.0,0.0,ok,0.06589360001089517,5.0,880,2.6835919018129023e-10,0.002878692148644739,0.15708650001033675,0.12252210019505583,0.03456439981528092,139.22965931256343
bello,nonlinear_low_noise,savgol+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.22041841199254786,0.22318525709621975,0.1551826480241971,0.2108556750750138,3.9314702278748537,1.6868484161153363,1.1484506844815061,0.8,0.0011247260058126246,0.0,0.0,failed: RuntimeError,0.0676277000020491,,38800,,,6.9062501000007614,5.370343601083732,1.5359064989170292,138.41091755370445
bello,nonlinear_low_noise,savgol+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.21833106108643882,0.22054202208825674,0.15393112617001029,0.2020427381083944,3.829288802971005,1.6732442684587017,1.1004499679344857,0.8,0.0012552794444179443,0.0,0.0,failed: RuntimeError,0.06841400000848807,,36640,,,6.647595499991439,5.167353899611044,1.4802416003803955,141.03040119025775
bello,nonlinear_low_noise,savgol+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.22121238851707337,0.22403460858137447,0.16792947832063682,0.20825017811772722,3.9045659668547192,1.8254075319044134,1.1342595332926861,0.8,0.0011042714335769168,0.0,0.0,failed: RuntimeError,0.06945369999448303,,33040,,,5.970508000013069,4.638477399857948,1.3320306001551216,140.38975181168124
bello,nonlinear_low_noise,savgol+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.23290102773454724,0.23642312355350908,0.27250632122296875,0.19106214863557,3.7226544849227308,2.9621665965173247,1.040642872433787,0.8,0.0009618646371681644,0.0,0.0,failed: RuntimeError,0.06760170000779908,,34400,,,6.229799999986426,4.853845699108206,1.3759543008782202,141.10016567175018
bello,nonlinear_low_noise,kissgp,3000,289,17,17,1,none,0.0,0.12158484185466756,0.1185607237459842,0.3243992760882337,0.30934622676564405,2.087701380525977,3.526247373824126,1.6848912686100816,0.0,0.0,0.0,0.0,ok,0.3656526999984635,4.0,720,1.4422647466587594e-14,0.012076302350671064,2.1999424999958137,2.1473697002074914,0.0525727997883223,2982.457916954849
bello,nonlinear_low_noise,mlp,3000,289,17,17,1,none,0.0,0.247038507292234,0.25534749023680925,0.5545767705435929,0.7316560338224868,6.327396345299132,6.028296068642614,3.9850522047818973,1.2,0.005585586639621838,0.0,0.0,ok,4.1125788999925135,3.0,560,3.072328072706688e-09,0.05152605751618463,5.492755999992369,5.450961099923006,0.041794900069362484,9733.859107005368
