experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.8080538008002537,0.4766278976373273,2.2786036642055416,4.316369095178329,1.315951325944412,1.9178209447509078,1.7920746972695945,1.6,0.004255813127884842,1.4000000000000001,7.935296033307369,ok,0.1281314000079874,5.0,880,2.0747570326582233e-13,0.008108817502905357,0.20145300001604483,0.16218470054445788,0.03926829947158694,184.3007960732476
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-6+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,ridge,1e-06,0.9554359578578265,0.6818656672473511,1.1260435478277393,2.328522170154368,1.597839206651407,0.947751438589303,0.9667583033680597,2.0,0.02535589013624794,0.0,0.0,ok,0.09432180001749657,4.0,720,3.584918441304794e-10,0.01050402481254494,0.16716860001906753,0.13435059975017793,0.03281800026888959,186.59805520858046
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-6+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,ridge,1e-06,0.9745130910900391,0.6979961253032061,1.2697974171206192,1.5238934260599741,1.460530388618568,1.068744038465154,0.6326916883053826,1.2,0.016325680229716318,0.0,0.0,ok,0.09847309999167919,4.0,720,8.206523480194328e-14,0.007232304944757391,0.16667179999058135,0.1346264003077522,0.032045399682829157,186.98111153854472
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-6+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,ridge,1e-06,0.9558832934678768,0.6845089453465599,1.1079240760805835,2.3901721582205857,1.6168811667981409,0.9325009134670967,0.9923542107764081,2.0,0.026420646721066192,0.0,0.0,ok,0.09576239998568781,4.0,720,5.65057685145787e-10,0.010766787642612713,0.16164030000800267,0.12977739979396574,0.03186290021403693,180.2463886027302
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-6+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,ridge,1e-06,0.9549400594999289,0.6798271826780875,1.0542857873679783,1.9629186391718658,1.5890453798024715,0.8873554433927753,0.8149666417518063,2.0,0.02284188001387177,0.0,0.0,ok,0.08333570000831969,4.0,720,1.5164129514992967e-12,0.008982554539879074,0.1626836000068579,0.13126690007629804,0.031416699930559844,182.3151389948584
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.7512968478339676,0.3072409471940644,1.207791510187081,2.0736239830933663,1.1943073137988778,1.0165558370313272,0.8609294038139911,1.0,0.0010438835986813077,0.0,0.0,ok,0.08604409999679774,4.0,720,3.171720184990608e-10,0.007452862547333684,0.16247839998686686,0.1306972001621034,0.03178119982476346,181.5238891140325
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-4+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,ridge,0.0001,0.9468718847920913,0.6481115619904418,1.0324570165436249,1.534538813653584,1.514374823804073,0.8689829310762428,0.6371114516130307,1.2,0.021864172515399814,0.0,0.0,ok,0.08454020001227036,4.0,720,1.7066077348988872e-12,0.008478705588238157,0.16008150001289323,0.12893259985139593,0.031148900161497295,179.07305534916102
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-4+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,ridge,0.0001,0.9771740999214904,0.6872222824758283,1.2308338294479229,1.201412783723827,1.4272455962508694,1.0359497505882456,0.49880383331739775,1.2,0.014385709006832205,0.0,0.0,ok,0.10316820000298321,4.0,720,3.930879415730858e-14,0.006363853106664291,0.16022510000038892,0.129138600314036,0.03108649968635291,179.3591671028278
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-4+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,ridge,0.0001,0.9454653497629133,0.6466733884663894,1.0033807596699829,1.572625086935885,1.5286235964406016,0.84451046344038,0.652924150934493,1.2,0.02276976938827523,0.0,0.0,ok,0.09040799998911098,4.0,720,2.790064460043587e-12,0.008668625152647389,0.16207019999274053,0.13078949952614494,0.03128070046659559,181.6520826752013
model_and_data_regularization_sweep_noisy,nonlinear_high_noise,ridge_rff+ridge=1e-4+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,ridge,0.0001,0.9471588359167129,0.6463623102959447,0.9686740624783293,1.4341161484914773,1.5253799814388571,0.8152990512747247,0.5954178630201504,1.2,0.02027038862434088,0.0,0.0,ok,0.12150469998596236,4.0,720,1.5632347052933455e-12,0.007977573712491503,0.1592693000275176,0.12848869964363985,0.030780600383877754,178.45652728283312
