experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us,Unnamed: 33
bello,linear_medium_noise,FiniteDiff,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.2393255223641998,0.1960178839849117,0.3005783883639574,0.5388916568418354,2.248659081658715,1.239768757409761,1.1092504947559174,0.2,0.00012356,0.0,0.0,ok,0.0649081,24.0,4000.0,6.115679499061687e-09,0.006566852,0.5104902000020957,0.3559722999634687,0.1545179000386269,88.99307499086717,
bello,linear_medium_noise,FiniteDiff+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,0.2320977710384357,0.1884870851590023,0.2778320382519694,0.489770627790428,2.131663387269129,1.145948924362415,1.0081401415218063,0.2,4.425704437821741e-06,0.0,0.0,ok,0.0702731,17.0,2800.0,8.855567484923495e-09,0.006468594,0.3516880999959539,0.2455076994665432,0.1061804005294106,87.68132123805117,
bello,linear_medium_noise,FiniteDiff+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,0.2132081733449485,0.1696249246203504,0.2145860452020982,0.3478248320252768,1.8392536971821225,0.8850838414089416,0.7159599932824192,0.0,0.0,0.0,0.0,ok,0.0698809,10.0,1680.0,1.5167420331520472e-09,0.007607943,0.2114937999867834,0.1476256999303586,0.0638681,87.87244043473731,
bello,linear_medium_noise,FiniteDiff+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,0.2337379244743024,0.1902420154940102,0.2779263893462698,0.4930172683711009,2.150963178059765,1.1463380858705918,1.0148230018420263,0.2,4.444192670366915e-05,0.0,0.0,ok,0.0693036,20.0,3280.0,6.2637331620024155e-09,0.006499822,0.4104817000043113,0.2876709000120172,0.122810799992294,87.70454268659061,
bello,linear_medium_noise,FiniteDiff+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,0.2233344413422932,0.1803704245793526,0.2082068370746753,0.3054100037580022,1.820943892645583,0.8587720929946908,0.6286536328236406,0.0,0.0,0.0,0.0,ok,0.067371,11.0,1840.0,2.489126005298449e-09,0.006465673,0.2353909999947063,0.1638956000097096,0.0714954,89.07369565745087,
bello,linear_medium_noise,rff,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.1416149734637442,0.083285316,0.2722572972213321,0.5400086882212612,1.036904826,1.1229552893307917,1.111549783665951,0.4,0.000176119,0.4,0.3938248255777669,ok,0.1053909999900497,4.0,720.0,3.192195285879675e-14,0.003578823,0.1624416999984532,0.1303731001971755,0.0320686,181.0737502738549,
bello,linear_medium_noise,rff+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,0.2101166024722966,0.17754343625425,0.2573092586823005,0.5081555689631552,1.805211945186611,1.0613004535785662,1.0459835648388822,0.4,0.000302015,0.0,0.0,ok,0.1013548000046284,3.0,560.0,1.8136213676248328e-10,0.00428169,0.1255531999922823,0.1004887999879429,0.0250644000043394,179.4442856927552,
bello,linear_medium_noise,rff+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,0.2056750210522248,0.1700345528822119,0.218378693573783,0.4098396305698529,1.732583605739507,0.9007270384619588,0.8436107837416773,0.4,0.000206162,0.0,0.0,ok,0.0958849,3.0,560.0,8.684450696396383e-12,0.004495913,0.1242827999958535,0.1002245001000119,0.0240583,178.97232160716416,
bello,linear_medium_noise,rff+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,0.2102686748559876,0.1772869888472138,0.2529282681482258,0.4968131282744101,1.796940180783503,1.0432305743027577,1.022636371045858,0.4,0.000288772,0.0,0.0,ok,0.0887664,3.0,560.0,1.660354217289996e-10,0.004375062,0.1268464000022504,0.1017772000486729,0.0250692,181.7450001,
bello,linear_medium_noise,rff+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,0.2141044936810834,0.177134419584761,0.2169339458361829,0.3389645128507119,1.7027704894984383,0.8947680168664137,0.69772198,0.2,0.0002409,0.0,0.0,ok,0.1224161999998614,3.0,560.0,3.155088860812049e-12,0.00487958,0.1295710999984294,0.1037440998188685,0.0258270001795608,185.25732110512243,
